Status,ID,UID,Título,Usuário,Observações,Plano,RTSP
online,823677,DEE0002227323,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823679,DUR0002227464,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823680,DNX0002227338,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823681,DVZ0002227322,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823682,DZB0002244002,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823748,DGW0002227328,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823749,DYG0002228704,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823755,68IM4400825X2,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823756,DXJ0002227433,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823757,DRP0002227330,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,823758,DKN0002227321,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
online,825316,aL52943621,ESCOLA JOÃO BATISTA LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
online,825318,aL52943626,ESCOLA JOÃO BATISTA LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811619,7KOM2805913DL,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811651,68IM43037602M,CRECHE SANTA LUZIA,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811666,68IM4400830K4,CRECHE ANNA KEROLAYNE,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811697,68IM43035449S,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811698,68IM4303532UU,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811699,68IM4303543F8,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811700,68IM43035371G,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811701,68IM4303535XO,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811702,68IM4303534JS,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811703,68IM4303542L0,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811704,68IM4305590Q4,ESCOLA MARIA LUIZA TELES 02,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811705,7KOM2803968QN,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811706,68IM43035411X,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,811716,68IM4400795QT,ESCOLA SÃO RAIMUNDO NONATO,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,822353,7KOM2805912UP,ESCOLA MARIA LUIZA TELES,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,822354,K92444596,ESCOLA MARIA LUIZA TELES LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,822366,K92444623,ESCOLA MARIA LUIZA TELES LPR,ADMINISTRADOR - FRANQUEADO,,30dias,
offline,823890,a68IM43037203S,ESCOLA GERVÁSIO LAGES RABÊLO,ADMINISTRADOR - FRANQUEADO,,30dias,
